%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1714581030353241155,40111,1714581030310288620,robot/map,,1.6982118436234717,1.2933867620906552,0.0,0.0,0.0,0.19203804549901904,0.9813874816202399,-0.0004959017148516954,-0.00036670716019972287,0.0,0.0,0.0,0.5949771891718585
1714581030368505086,40112,1714581030318182208,robot/map,,1.6981986095451065,1.2933823449983881,0.0,0.0,0.0,0.19485965230660235,0.9808311352638384,-0.0009096547756846635,-0.0004042081934529445,0.0,0.0,0.0,0.5850819176248303
1714581030368517073,40113,1714581030326239818,robot/map,,1.6981991003066175,1.293382964233266,0.0,0.0,0.0,0.19772415898268955,0.9802576992580003,-0.00043028931229307984,-0.0001711423528355274,0.0,0.0,0.0,0.5846750619151909
1714581030368528414,40114,1714581030334223463,robot/map,,1.6981992933907564,1.2933832107737953,0.0,0.0,0.0,0.2005178031804173,0.9796900584407803,-0.00020549044920155316,-7.324414995151142e-05,0.0,0.0,0.0,0.5774106707732152
1714581030368536256,40115,1714581030342190206,robot/map,,1.6981994846742527,1.2933834578748582,0.0,0.0,0.0,0.20325221775435698,0.9791264147074858,-9.318104978198856e-05,-2.426702182852742e-05,0.0,0.0,0.0,0.5678956357803716
1714581030374782371,40116,1714581030350345856,robot/map,,1.6982035459325127,1.2933825022364958,0.0,0.0,0.0,0.2060187816522234,0.9785480374547453,0.00015647238810466088,-5.991542903642208e-05,0.0,0.0,0.0,0.5665854191633333
1714581030374791818,40117,1714581030358162368,robot/map,,1.6982052696452554,1.2933741502120708,0.0,0.0,0.0,0.20863248805496767,0.9779941129311535,0.00016442183119046687,-0.0004475589357657765,0.0,0.0,0.0,0.5504686400817104
1714581030374801378,40118,1714581030366145252,robot/map,,1.698204143109966,1.2933671568349128,0.0,0.0,0.0,0.21127182913166348,0.9774273447245894,2.5884151120365704e-05,-0.0005734483257847741,0.0,0.0,0.0,0.5451852775231869
1714581030440648831,40119,1714581030374212421,robot/map,,1.698199746081656,1.2933653089933626,0.0,0.0,0.0,0.2139091763319646,0.9768535531393538,-0.00020690933993478206,-0.00037911624040327035,0.0,0.0,0.0,0.5424970933493539
1714581030440670269,40120,1714581030382223159,robot/map,,1.6981953899171593,1.2933634506819722,0.0,0.0,0.0,0.21652822111698167,0.9762763591626684,-0.0003212628948012508,-0.00028247368971781833,0.0,0.0,0.0,0.5394378973900635
1714581030440736154,40121,1714581030390325862,robot/map,,1.6981914645598262,1.2933673014161158,0.0,0.0,0.0,0.21918033823872712,0.9756843646023837,-0.0003568993140595644,5.12998623186505e-05,0.0,0.0,0.0,0.5414575607970444
1714581030445768373,40122,1714581030398336343,robot/map,,1.69818773685876,1.2933733637388014,0.0,0.0,0.0,0.22183776199000985,0.975083589932301,-0.0003648347103432581,0.00032876606544079225,0.0,0.0,0.0,0.5431775974198924
1714581030445775631,40123,1714581030406286151,robot/map,,1.6981901632858354,1.2933748796278213,0.0,0.0,0.0,0.22450392786527787,0.9744731840194794,-6.109600139733384e-05,0.00024017748371365678,0.0,0.0,0.0,0.5451037072008866
1714581030462474781,40124,1714581030414211432,robot/map,,1.6981854967898615,1.293372730216535,0.0,0.0,0.0,0.22720239211225715,0.9738475614892036,-0.00026387279939164675,1.2618177542345958e-05,0.0,0.0,0.0,0.5495557840600589
1714581030462480774,40125,1714581030422285637,robot/map,,1.6981807550536512,1.2933705138207996,0.0,0.0,0.0,0.22996712532780514,0.9731983976910697,-0.00036902321021308523,-0.00010451069799823865,0.0,0.0,0.0,0.5587703005648239
1714581030542865389,40126,1714581030430483816,robot/map,,1.6981608728105033,1.2933692080422068,0.0,0.0,0.0,0.23278411683744904,0.9725284340049954,-0.0011786237624996326,-0.0001175442786395362,0.0,0.0,0.0,0.568941679549161
1714581030542875750,40127,1714581030438259774,robot/map,,1.6981417762561934,1.2933710006501777,0.0,0.0,0.0,0.2354436534663071,0.97188800077089,-0.0015441395967434165,3.0858259227822925e-05,0.0,0.0,0.0,0.5580269487216261
1714581030542885806,40128,1714581030446313037,robot/map,,1.6981378550707493,1.2933709170118424,0.0,0.0,0.0,0.2381673026204069,0.971224143008461,-0.0009681290705778255,1.1247212845480525e-05,0.0,0.0,0.0,0.5593521443712901
1714581030542895307,40129,1714581030454199901,robot/map,,1.6981379280513809,1.293374522153967,0.0,0.0,0.0,0.24080207756216138,0.9705742421070872,-0.0004804155037120105,0.0001858807126531151,0.0,0.0,0.0,0.5510506232189522
1714581030549035672,40130,1714581030462152216,robot/map,,1.6981379819399596,1.2933781577215948,0.0,0.0,0.0,0.24342703704221014,0.9699192119124409,-0.00023751332292048174,0.0002747187377183304,0.0,0.0,0.0,0.5460707106160454
1714581030549097304,40131,1714581030470417853,robot/map,,1.698137996126003,1.2933796692929074,0.0,0.0,0.0,0.2460753390487353,0.9692507041586558,-0.00011804735928768848,0.0002129379344872857,0.0,0.0,0.0,0.5461728806094567
1714581030549148809,40132,1714581030478273669,robot/map,,1.6981301754634208,1.2933816014839896,0.0,0.0,0.0,0.24853422917341894,0.9686231139763156,-0.00045005680875399634,0.00020307852135581316,0.0,0.0,0.0,0.5268582578571013
1714581030573691249,40133,1714581030486245400,robot/map,,1.698131847079511,1.2933735936600999,0.0,0.0,0.0,0.2509879217756896,0.9679902185057039,-0.00014144759986623484,-0.00029885193381040773,0.0,0.0,0.0,0.516829355824806
1714581030573712344,40134,1714581030494193814,robot/map,,1.698145947180713,1.2933721790118227,0.0,0.0,0.0,0.2533834790213351,0.9673659145116933,0.0006342812601645124,-0.00022015838076455734,0.0,0.0,0.0,0.5059718051361994
1714581030573728304,40135,1714581030502358523,robot/map,,1.698160438027841,1.2933707988510423,0.0,0.0,0.0,0.25586062464908077,0.9667136808560134,0.001041682986482882,-0.00017908722939871693,0.0,0.0,0.0,0.5091433305418241
1714581030573745606,40136,1714581030510165578,robot/map,,1.6981767045996932,1.2933764370770973,0.0,0.0,0.0,0.2582652875353536,0.9660740350792382,0.0013341700858496277,0.00019236768804699312,0.0,0.0,0.0,0.5033999898437982
1714581030573756853,40137,1714581030518213226,robot/map,,1.6981944184518336,1.293385179523483,0.0,0.0,0.0,0.2607985850980282,0.9653932349104517,0.0015527776499470176,0.0005333061633091066,0.0,0.0,0.0,0.5140183007386047
1714581030573770330,40138,1714581030526249691,robot/map,,1.6982065890973599,1.2933799901377334,0.0,0.0,0.0,0.2634288233354088,0.9646788351757916,0.0013849211012873645,7.183794176555264e-06,0.0,0.0,0.0,0.5295623518702548
1714581030591324652,40139,1714581030534257435,robot/map,,1.6982060038913154,1.293374713250716,0.0,0.0,0.0,0.26610088042258706,0.963945185909616,0.0006632002484180734,-0.0002602524537790706,0.0,0.0,0.0,0.5418756586609977
1714581030591339072,40140,1714581030542285290,robot/map,,1.6982054470128414,1.2933694199474044,0.0,0.0,0.0,0.26885554985955323,0.9631805092036058,0.00030375620050900396,-0.00039479139247307945,0.0,0.0,0.0,0.5568213674728775
1714581030591349177,40141,1714581030550396638,robot/map,,1.6982119565267761,1.293362414947419,0.0,0.0,0.0,0.27165639871177777,0.9623943064248394,0.00047735379699307724,-0.0005476456955067865,0.0,0.0,0.0,0.5693208944664941
1714581030591358379,40142,1714581030558248743,robot/map,,1.6982131463169903,1.2933559843376448,0.0,0.0,0.0,0.2743660339201807,0.9616253321491225,0.0002981664092029839,-0.0005953533364650343,0.0,0.0,0.0,0.5663242476105435
1714581030611193701,40143,1714581030566238590,robot/map,,1.698214993755913,1.2933571755961868,0.0,0.0,0.0,0.27708291745641356,0.9608460109995994,0.00024145515073802993,-0.00023811374113088645,0.0,0.0,0.0,0.5658068287257811
1714581030611203709,40144,1714581030574217118,robot/map,,1.6982184127311857,1.2933534159404363,0.0,0.0,0.0,0.27980018242015825,0.9600582575644283,0.00029167633900267537,-0.00030703965809051936,0.0,0.0,0.0,0.5658184139052347
1714581030611213173,40145,1714581030582275333,robot/map,,1.6982218874221626,1.2933496383012815,0.0,0.0,0.0,0.2825300229493415,0.9592584563777609,0.0003195727183486196,-0.00034240178678639796,0.0,0.0,0.0,0.5673686365605646
1714581030637699603,40146,1714581030590297721,robot/map,,1.6982179554376007,1.2933446863795146,0.0,0.0,0.0,0.2852387496000868,0.9584564965227055,-3.6812868922917504e-05,-0.00041879698173621514,0.0,0.0,0.0,0.5661793622144379
1714581030637821010,40147,1714581030598266625,robot/map,,1.6982083829234569,1.2933434359084053,0.0,0.0,0.0,0.28796517537753114,0.957640881421521,-0.0004970321416512758,-0.00027192204633442817,0.0,0.0,0.0,0.567670618255923
1714581030637850260,40148,1714581030606246234,robot/map,,1.6982005335886992,1.29334325368536,0.0,0.0,0.0,0.2907064937834938,0.9568122775508827,-0.0006409828087119258,-0.00014507217543319778,0.0,0.0,0.0,0.5702164639299849
1714581030637869175,40149,1714581030614195283,robot/map,,1.6981961947154487,1.2933393331503178,0.0,0.0,0.0,0.293448862620912,0.9559747721705281,-0.0005374350668791908,-0.0002685628398249903,0.0,0.0,0.0,0.5718486674814229
1714581030637912509,40150,1714581030622317456,robot/map,,1.6981917846458718,1.2933353016282696,0.0,0.0,0.0,0.2962449049679653,0.9551120124260406,-0.0004892210122823216,-0.00033585752232239015,0.0,0.0,0.0,0.57853693245295
1714581030649791609,40151,1714581030630213398,robot/map,,1.6981900788169804,1.293333724089591,0.0,0.0,0.0,0.2989506040096502,0.9542685871190906,-0.00032990195071485933,-0.00024680569509002374,0.0,0.0,0.0,0.572679456290401
1714581030649850067,40152,1714581030638306722,robot/map,,1.6981987133983742,1.2933364903796187,0.0,0.0,0.0,0.30170387082691236,0.9534016857170212,0.0002667780943368125,1.4911653840560572e-05,0.0,0.0,0.0,0.5749918023302534
1714581030649868552,40153,1714581030646256259,robot/map,,1.698206110803719,1.293337372228922,0.0,0.0,0.0,0.30436514807497084,0.9525554349418731,0.0005032593144045227,5.154829208818006e-05,0.0,0.0,0.0,0.56675459903461
1714581030691639727,40154,1714581030654189525,robot/map,,1.6982079619236712,1.2933338852931846,0.0,0.0,0.0,0.3069848165649809,0.9517144122049246,0.0003441856548128608,-0.00014857264083013432,0.0,0.0,0.0,0.5585133934237023
1714581030691648620,40155,1714581030662227101,robot/map,,1.6982098567296207,1.2933303629176933,0.0,0.0,0.0,0.30959247921129734,0.9508693374043578,0.0002668331248802358,-0.0002504050949792051,0.0,0.0,0.0,0.5533745655317798
1714581030691659473,40156,1714581030670360419,robot/map,,1.6982136542507795,1.2933248151814778,0.0,0.0,0.0,0.3121860783125894,0.9500209747725604,0.00032329262038341243,-0.0004025893582659836,0.0,0.0,0.0,0.5495696763732998
1714581030691665817,40157,1714581030678323322,robot/map,,1.69821411265739,1.2933187633583623,0.0,0.0,0.0,0.31471124513608967,0.9491874589273144,0.0001845666407141308,-0.0005038858349093468,0.0,0.0,0.0,0.5407025005866503
1714581030698684818,40158,1714581030686284903,robot/map,,1.6982173110414287,1.2933123366477526,0.0,0.0,0.0,0.31723697384929456,0.9483462987869684,0.0002522025222934303,-0.0005732784479389747,0.0,0.0,0.0,0.5365628221626211
1714581030698727658,40159,1714581030694200414,robot/map,,1.6982136045462766,1.2933060060744304,0.0,0.0,0.0,0.3197748753173212,0.9474935509626394,-5.922349645997118e-05,-0.0006031678900805807,0.0,0.0,0.0,0.5360149912528247
1714581030735406802,40160,1714581030702318155,robot/map,,1.698209838774608,1.2932994932099868,0.0,0.0,0.0,0.3223943669598436,0.9466054469273678,-0.00021790033165477497,-0.0006272271672168319,0.0,0.0,0.0,0.5446023278301927
1714581030749204622,40161,1714581030710420386,robot/map,,1.6982093225632984,1.2933008619075856,0.0,0.0,0.0,0.32505031018669733,0.9456967250908358,-0.00013476073131228362,-0.000245178703667734,0.0,0.0,0.0,0.5530112452222913
1714581030749224213,40162,1714581030718264259,robot/map,,1.6982060762221303,1.29330527318285,0.0,0.0,0.0,0.3276363426857673,0.9448039092592148,-0.00022969742406144534,9.797441138634922e-05,0.0,0.0,0.0,0.5500872167255705
1714581030749238834,40163,1714581030726175808,robot/map,,1.6982056634403446,1.2933109394598294,0.0,0.0,0.0,0.3302754982367709,0.9438845772998162,-0.00013548780131279335,0.0003323010546631318,0.0,0.0,0.0,0.5545130764158415
1714581030749250957,40164,1714581030734467253,robot/map,,1.6982022137495054,1.2933173812420435,0.0,0.0,0.0,0.33302898719072993,0.9429165889360079,-0.00024022844261679043,0.00048823963803631444,0.0,0.0,0.0,0.5691248122530413
1714581030758633582,40165,1714581030742256939,robot/map,,1.698198938664698,1.2933234146740842,0.0,0.0,0.0,0.3356121167427256,0.9420002691589143,-0.00028386846167602586,0.0005457914210502514,0.0,0.0,0.0,0.558646424614534
1714581030758641845,40166,1714581030750249949,robot/map,,1.6981967312730382,1.2933219346896196,0.0,0.0,0.0,0.3382300240779471,0.941063468004274,-0.0002523038138331641,0.00019889648729830853,0.0,0.0,0.0,0.5573706938619333
1714581030769026855,40167,1714581030758264761,robot/map,,1.6982007285457112,1.293325386459471,0.0,0.0,0.0,0.3408130012136835,0.940131106922711,7.371172673762495e-05,0.0002720367362132284,0.0,0.0,0.0,0.5532954852931691
1714581030796585486,40168,1714581030766166672,robot/map,,1.6982062893646157,1.2933268623459513,0.0,0.0,0.0,0.34329420709903985,0.9392279208862147,0.00031489680859180284,0.00020981269212472025,0.0,0.0,0.0,0.5406956874015649
1714581030796598981,40169,1714581030774376669,robot/map,,1.6982044503336677,1.2933273556327016,0.0,0.0,0.0,0.3458048928969638,0.9383064403746355,6.549685689740699e-05,0.00012957068357916,0.0,0.0,0.0,0.5377926748811848
1714581030796620711,40170,1714581030782239449,robot/map,,1.69820268663669,1.2933278189269122,0.0,0.0,0.0,0.3481576643924523,0.9374359928682025,-5.543642044113497e-05,8.795005231712564e-05,0.0,0.0,0.0,0.5197591659309593
1714581030800216525,40171,1714581030790321819,robot/map,,1.6981986328119207,1.29333184815126,0.0,0.0,0.0,0.3505260203270843,0.9365529932009489,-0.0002304094486806296,0.0002454362435447413,0.0,0.0,0.0,0.5126403719908821
1714581030800255535,40172,1714581030798323643,robot/map,,1.6981970194467084,1.2933334356794235,0.0,0.0,0.0,0.3528668592395396,0.9356735433100708,-0.00019587298495612747,0.00020209452995204727,0.0,0.0,0.0,0.5063794226359674
1714581030834386648,40173,1714581030806196574,robot/map,,1.698204327866249,1.2933344718826343,0.0,0.0,0.0,0.35517524990420146,0.934799733555529,0.00026748448455511805,0.00015285742551559076,0.0,0.0,0.0,0.5000138195560699
1714581030834394336,40174,1714581030814261037,robot/map,,1.6982066290296618,1.2933308953282094,0.0,0.0,0.0,0.3576001823935697,0.9338747825870906,0.00024880041291306597,-0.00010239900848442975,0.0,0.0,0.0,0.5095417947735786
1714581030854211438,40175,1714581030822298004,robot/map,,1.6982089411524615,1.2933273429392702,0.0,0.0,0.0,0.3600867676934855,0.9329188173319573,0.00024000634643971502,-0.00022881895120381145,0.0,0.0,0.0,0.5211724780885365
1714581030854225403,40176,1714581030830526249,robot/map,,1.6982057473685388,1.2933256111906384,0.0,0.0,0.0,0.36270257585457005,0.9319049530228176,-3.9686022913215134e-05,-0.00020099690719330631,0.0,0.0,0.0,0.5411281848357475
1714581030854235382,40177,1714581030838217069,robot/map,,1.6982063471549986,1.2933364783462342,0.0,0.0,0.0,0.3652146955560267,0.9309233191568029,1.0146311534978398e-05,0.00044285932619532215,0.0,0.0,0.0,0.5402742118246036
1714581030857524988,40178,1714581030846204951,robot/map,,1.698206571280065,1.2933409945642675,0.0,0.0,0.0,0.3678696067021463,0.929877385715347,1.6279409081677984e-05,0.0004472405647638402,0.0,0.0,0.0,0.5554883891198262
1714581030857534291,40179,1714581030854310508,robot/map,,1.6982031533314168,1.2933465358453928,0.0,0.0,0.0,0.37058011496100135,0.9288005051653939,-0.00016275772786466448,0.0005006843386462956,0.0,0.0,0.0,0.5694038038697764
1714581030910305726,40180,1714581030862297957,robot/map,,1.698199753509687,1.2933519768025843,0.0,0.0,0.0,0.3732607933307795,0.927726457616725,-0.00025136995041729856,0.0005223900288961692,0.0,0.0,0.0,0.5734859121357481
1714581030910323352,40181,1714581030870325042,robot/map,,1.6981938056277095,1.2933497444223823,0.0,0.0,0.0,0.375926038796701,0.9266496713184661,-0.0004230790740890595,0.00014957600434671315,0.0,0.0,0.0,0.5741974362122353
1714581030913253827,40182,1714581030878219316,robot/map,,1.6981919705173956,1.2933528108889876,0.0,0.0,0.0,0.37853694876080207,0.9255861809809295,-0.000303295052741042,0.00022811133243865467,0.0,0.0,0.0,0.5690183485458041
1714581030913266806,40183,1714581030886173902,robot/map,,1.69818722732101,1.293353610792498,0.0,0.0,0.0,0.38114730606898845,0.9245143217259281,-0.0003888073456534826,0.00015405084174632404,0.0,0.0,0.0,0.5666944471496358
1714581030913276769,40184,1714581030894298150,robot/map,,1.6981812086077983,1.2933534622050993,0.0,0.0,0.0,0.38380536317540115,0.9234140150538102,-0.000495339333406612,6.959605093169243e-05,0.0,0.0,0.0,0.5710266990551914
1714581030913285846,40185,1714581030902226275,robot/map,,1.6981753360050829,1.2933532838045638,0.0,0.0,0.0,0.38639841138991166,0.9223319725973683,-0.000541299802475855,2.587799869307218e-05,0.0,0.0,0.0,0.5664887953267155
1714581030923874522,40186,1714581030910350808,robot/map,,1.6981733506704204,1.2933572809832972,0.0,0.0,0.0,0.3890771594239502,0.9212051693377485,-0.0003699166343602549,0.0002127979360134995,0.0,0.0,0.0,0.573853801493663
